"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\NavBar\NavBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 139, 1, 8, 148
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 3, 87
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCard2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 6, 42
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductCard3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 3, 27
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 10, 97
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\components\ProductList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 3, 23
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\productListApi.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\ProductsList\productListSlice.js", "JavaScript", 79, 0, 0, 0, 0, 0, 2, 10, 91
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\auth\authApi.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\auth\authSlice.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\auth\components\Login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\auth\components\Signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\cartListApi.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 7, 98
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\cartListSlice.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartEmpty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartItem1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 82, 0, 6, 88
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\cart\components\CartList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 6, 52
"c:\Users\gk725\Desktop\Gautam\Ecommerce\react-ecommerce\src\features\order\components\OrderInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 3, 50
